1.txt	试 驾 长 城 c 3 0 感 评 价 否 力 样 昨 天 4 s 店 试 驾 长 城 c 3 0 总 结 1 感 受 坐 驾 驶 位 前 视 野 开 阔 座 椅 软 感 觉 座 椅 点 高 头 快 碰 驾 驶 室 顶 1 挡 步 平 缓 换 入 2 挡 稍 力 踩 油 门 感 觉 油 门 点 软 油 门 踩 过 会 才 油 反 应 感 觉 延 迟 论 坛 说 c 3 0 发 动 机 较 肉 天 1 试 确 实 情 况 换 5 挡 将 速 度 提 1 2 0 感 觉 时 间 点 长 车 身 倒 挺 稳 风 燥 动 静 较 掉 头 时 候 感 觉 c 3 0 方 盘 轻 车 身 倾 斜 度 点 大 车 过 减 速 带 时 候 感 觉 颠 厉 害 应 减 震 点 硬 总 说 呢 c 3 0 较 适 合 市 区 跑 速 度 会 太 快 太 快 前 试 驾 过 海 马 m 3 感 觉 动 力 略 胜 1 筹 加 速 性 油 门 轻 1 踩 就 反 应 较 快 提 速 1 2 0 迈 轻 松 c 3 0 1 样 车 身 稳 风 燥 知 道 大 家 c 3 0 动 力 性 舒 适 性 啊 知 道 试 驾 台 车 年 头 久 哎 纠 结 款 车 都 优 势 知 道 选 较 
10.txt	0 6 款 2 4 v 凯 美 瑞 1 箱 油 才 跑 4 0 0 公 里 0 6 款 2 4 v 凯 美 瑞 1 箱 油 才 跑 4 0 0 公 里 请 位 高 指 点 款 车 耗 油 大 处 理 
100.txt	计 算 机 存 问 题 组 装 机 质 量 问 题 占 大 例 主 要 反 映 经 常 会 缘 故 出 现 死 机 主 要 配 件 硬 盘 内 存 条 c d r o m 发 生 故 障 商 家 履 行 3 包 规 定 组 装 机 电 源 容 易 产 生 燃 烧 成 投 诉 焦 点 专 家 提 醒 国 家 对 电 脑 硬 盘 内 存 条 等 都 明 确 实 行 3 包 商 家 拒 绝 履 行 消 费 者 购 买 计 算 机 散 件 销 售 商 进 行 组 装 时 1 定 要 商 家 索 要 正 规 发 票 购 买 电 源 适 配 器 时 通 过 国 家 质 检 局 网 站 对 3 c 认 证 进 行 查 询 确 认 样 1 旦 发 生 质 量 纠 纷 消 费 者 维 权 就 证 晨 报 记 者 达 鹤 
11.txt	4 0 8 手 舒 2 0 求 北 京 价 格 求 真 实 油 耗 4 0 8 手 舒 2 0 求 北 京 价 格 求 真 实 油 耗 纠 结 久 多 车 喜 欢 4 0 8 天 返 4 0 k m 8 油 耗 成 大 纠 结 网 说 多 少 都 8 1 3 亲 快 告 诉 底 多 少 说 实 话 太 高 就 要 投 奔 车 目 前 北 京 价 格 多 少 妹 天 津 目 前 4 0 8 手 舒 2 0 办 齐 1 4 w 加 导 航 皮 座 椅 果 北 京 便 宜 多 就 北 京 买 谢 谢 位 
12.txt	0 6 年 1 8 t 帕 萨 特 领 驭 近 提 速 变 慢 求 原 0 6 年 1 8 t 帕 萨 特 领 驭 近 提 速 变 慢 求 原 兄 弟 0 6 年 1 8 t 帕 萨 特 领 驭 近 油 门 踩 速 度 提 慢 知 道 什 原 感 觉 油 门 轻 轻 冷 车 刚 启 动 时 候 开 十 公 里 就 感 觉 油 门 轻 速 度 响 应 慢 油 门 踩 底 速 度 慢 悠 悠 飘 1 2 0 左 右 求 原 谢 谢 
13.txt	请 大 侠 帮 解 决 问 题 急 呀 谢 谢 请 大 侠 帮 解 决 问 题 急 呀 谢 谢 新 买 2 0 1 3 款 新 q q 油 门 踩 发 动 机 就 会 异 响 响 声 哗 哗 油 门 踏 板 会 声 音 抖 动 油 门 1 放 开 就 响 什 原 啊 
14.txt	转 载 c v t 驾 驶 技 巧 愿 对 刚 入 手 瑞 虎 t t 朋 友 帮 助 转 载 c v t 驾 驶 技 巧 愿 对 刚 入 手 瑞 虎 t t 朋 友 帮 助 南 阿 弥 陀 佛 c v t 驾 驶 技 巧 愿 对 刚 入 手 瑞 虎 t t 朋 友 帮 助 1 n 档 点 火 启 动 接 通 电 源 踩 住 刹 车 档 位 拉 n 档 点 火 挂 入 d 档 松 刹 车 缓 加 油 步 行 驶 样 避 免 p 档 经 过 r 档 反 冲 击 2 n 档 停 车 熄 火 车 停 踩 住 刹 车 将 排 挡 杆 拉 n 档 拉 手 刹 松 脚 刹 熄 火 将 排 挡 推 入 p 档 说 样 利 c v t 变 速 箱 3 n 档 等 红 灯 暂 停 时 挂 n 档 拉 手 刹 变 速 箱 内 扭 力 转 换 器 1 组 单 离 合 器 反 应 轮 放 大 发 动 机 曲 轴 扭 力 发 动 机 怠 速 会 转 动 发 动 机 转 速 升 时 才 会 作 踩 住 刹 车 挂 d 档 踩 住 刹 车 挂 n 档 拉 手 刹 松 脚 刹 都 正 确 者 操 作 右 脚 放 松 放 松 4 空 挡 滑 行 行 驶 过 程 中 要 将 变 速 杆 拉 n 档 更 能 拉 p 档 5 前 进 变 退 退 变 前 进 挡 时 要 完 全 停 住 车 踩 住 制 动 踏 板 时 操 作 变 速 杆 否 会 变 速 箱 损 坏 6 长 坡 时 应 l 档 手 动 模 式 低 档 利 发 动 机 制 动 作 避 免 长 时 间 制 动 时 制 动 蹄 片 产 生 热 衰 退 性 制 动 性 能 变 差 7 行 驶 过 程 中 档 位 直 接 拨 l 档 时 需 踩 刹 车 要 松 油 门 8 坡 地 停 车 库 坡 时 应 l 档 手 动 档 中 低 速 档 9 c v t 动 模 式 d 档 加 速 快 c v t 变 速 箱 动 模 式 加 速 全 程 保 持 发 动 机 扭 力 输 出 高 转 速 会 动 力 波 动 换 挡 真 空 期 加 速 快 手 动 模 式 能 完 全 利 发 动 机 佳 转 速 加 换 挡 耗 费 时 间 加 速 更 慢 1 0 泥 泞 湿 滑 路 面 避 免 突 然 步 加 速 刹 车 变 道 急 转 弯 南 阿 弥 陀 佛 正 确 c v t 级 变 速 箱 应 注 意 点 1 行 驶 时 要 将 变 速 杆 拉 n 挡 p 挡 r 挡 然 变 速 箱 保 护 功 能 专 业 技 术 员 做 过 样 破 坏 性 试 验 没 什 事 前 进 变 退 退 变 前 进 档 时 要 完 全 停 住 车 踩 住 制 动 踏 板 时 操 作 变 速 杆 否 能 变 速 箱 损 坏 坛 子 中 贴 反 应 换 挡 出 现 车 辆 严 重 抖 动 现 象 估 计 没 车 辆 静 止 状 态 换 挡 2 坡 时 进 入 手 动 模 式 低 档 利 发 动 机 制 动 作 避 免 长 时 间 制 动 时 制 动 蹄 片 产 生 热 衰 退 性 制 动 性 能 变 差 3 c v t 结 构 工 作 原 理 控 制 都 内 部 油 压 进 行 完 成 应 按 照 生 产 厂 家 指 定 期 限 检 查 c v t 油 质 油 量 重 点 油 量 车 主 应 要 学 会 油 尺 油 多 阻 力 会 变 大 甚 产 生 箱 体 内 外 正 压 力 油 少 压 力 会 变 弱 甚 会 出 现 钢 带 滑 现 象 4 大 限 度 提 高 燃 油 经 济 性 行 驶 中 c v t 变 速 箱 动 模 式 样 发 动 机 变 速 器 全 程 保 持 达 佳 匹 配 状 态 大 限 度 利 发 动 机 扭 矩 功 率 输 出 达 经 济 车 速 提 高 燃 油 经 济 性 5 c v t 结 构 假 对 相 关 部 件 电 路 进 行 检 修 断 电 都 要 对 内 部 进 行 1 种 特 殊 设 定 程 序 才 能 c v t 发 挥 正 常 状 态 相 对 c v t 变 速 箱 维 修 应 专 业 修 理 单 位 进 行 维 修 6 果 车 主 想 加 速 快 话 就 c v t 变 速 箱 动 模 式 加 速 全 程 保 持 发 动 机 扭 力 输 出 高 转 速 会 动 力 波 动 换 挡 真 空 期 加 速 快 手 动 模 式 能 完 全 利 发 动 机 佳 转 速 加 换 挡 耗 费 时 间 加 速 更 慢 7 心 斜 坡 溜 车 少 c v t 变 速 箱 动 力 接 合 初 段 会 发 生 滑 果 斜 坡 步 便 能 初 段 阻 止 车 辆 溜 坡 c v t 变 速 箱 车 型 斜 坡 步 时 要 电 子 手 刹 辅 助 8 等 红 绿 灯 时 将 变 速 箱 推 入 n 档 步 时 挂 入 d 档 步 明 显 1 直 d 档 踩 油 门 步 要 快 多 超 过 1 5 秒 等 待 时 间 要 放 d 档 对 变 速 箱 踩 刹 车 挂 d 档 然 车 子 停 变 速 箱 1 直 前 走 力 力 量 没 刹 车 力 量 大 就 说 变 速 齿 轮 蹩 住 想 长 对 变 速 箱 危 害 希 望 东 东 对 新 入 手 瑞 虎 t t 朋 友 帮 助 南 阿 弥 陀 佛 
15.txt	新 轩 逸 1 6 动 豪 华 1 4 万 裸 车 开 倒 车 影 像 导 航 价 格 高 新 轩 逸 1 6 动 豪 华 1 4 万 裸 车 开 倒 车 影 像 导 航 价 格 高 纠 结 3 天 陵 派 轩 逸 天 提 轩 逸 1 6 动 豪 华 裸 车 1 7 万 惠 民 1 4 万 加 导 航 倒 车 影 像 朋 友 评 价 贵 
16.txt	刚 提 车 错 问 大 家 1 b 5 0 2 档 问 题 等 久 终 提 车 开 时 候 感 觉 开 1 档 提 速 行 换 2 档 时 油 门 都 踩 底 转 速 速 度 都 2 档 感 觉 速 较 慢 都 问 问 大 伙 都 毛 病 听 说 近 要 升 级 4 s 店 员 说 性 能 能 提 高 1 大 截 总 体 说 奔 腾 b 5 0 错 
17.txt	问 大 家 1 关 b 5 0 问 题 事 b 5 0 等 2 月 才 提 车 手 动 尊 贵 版 开 3 0 0 0 公 里 毛 病 就 出 空 调 风 扇 异 响 备 箱 洗 车 里 面 漏 水 近 说 发 动 车 时 候 机 器 听 异 响 挂 倒 档 时 候 时 候 己 竟 脱 档 听 都 怕 没 情 况 呀 都 敢 买 
18.txt	凯 踩 油 门 时 脚 轻 微 震 动 感 回 事 内 容 题 
